scope,name,split,success,total,success_rate
task,rotate_qrcode,clutter,1.0,3.0,0.3333333333333333
task,rotate_qrcode,easy,0.0,3.0,0.0
task,rotate_qrcode,hard,0.0,3.0,0.0
task,rotate_qrcode,height,0.0,3.0,0.0
task,rotate_qrcode,light,0.0,3.0,0.0
task,scan_object,background,0.0,3.0,0.0
task,scan_object,clutter,1.0,3.0,0.3333333333333333
task,scan_object,easy,0.0,3.0,0.0
task,scan_object,hard,1.0,3.0,0.3333333333333333
task,scan_object,height,3.0,3.0,1.0
task,scan_object,light,1.0,3.0,0.3333333333333333
task,shake_bottle,background,3.0,3.0,1.0
task,shake_bottle,clutter,3.0,3.0,1.0
task,shake_bottle,easy,3.0,3.0,1.0
task,shake_bottle,hard,3.0,3.0,1.0
task,shake_bottle,height,3.0,3.0,1.0
task,shake_bottle,light,3.0,3.0,1.0
task,shake_bottle_horizontally,background,3.0,3.0,1.0
task,shake_bottle_horizontally,clutter,3.0,3.0,1.0
task,shake_bottle_horizontally,easy,3.0,3.0,1.0
task,shake_bottle_horizontally,hard,3.0,3.0,1.0
task,shake_bottle_horizontally,height,3.0,3.0,1.0
task,shake_bottle_horizontally,light,3.0,3.0,1.0
task,stack_blocks_three,background,0.0,3.0,0.0
task,stack_blocks_three,clutter,0.0,3.0,0.0
task,stack_blocks_three,easy,0.0,3.0,0.0
task,stack_blocks_three,hard,0.0,3.0,0.0
task,stack_blocks_three,height,0.0,3.0,0.0
task,stack_blocks_three,light,0.0,3.0,0.0
task,stack_blocks_two,background,0.0,3.0,0.0
task,stack_blocks_two,clutter,1.0,3.0,0.3333333333333333
task,stack_blocks_two,easy,0.0,3.0,0.0
task,stack_blocks_two,hard,0.0,3.0,0.0
task,stack_blocks_two,height,2.0,3.0,0.6666666666666666
task,stack_blocks_two,light,0.0,3.0,0.0
task,stack_bowls_three,background,0.0,3.0,0.0
task,stack_bowls_three,clutter,0.0,3.0,0.0
task,stack_bowls_three,easy,2.0,3.0,0.6666666666666666
task,stack_bowls_three,hard,0.0,3.0,0.0
task,stack_bowls_three,height,0.0,3.0,0.0
task,stack_bowls_three,light,1.0,3.0,0.3333333333333333
task,stack_bowls_two,background,3.0,3.0,1.0
task,stack_bowls_two,clutter,3.0,3.0,1.0
task,stack_bowls_two,easy,2.0,3.0,0.6666666666666666
task,stack_bowls_two,hard,2.0,3.0,0.6666666666666666
task,stack_bowls_two,height,3.0,3.0,1.0
task,stack_bowls_two,light,3.0,3.0,1.0
task,stamp_seal,background,0.0,3.0,0.0
task,stamp_seal,clutter,1.0,3.0,0.3333333333333333
task,stamp_seal,easy,0.0,3.0,0.0
task,stamp_seal,hard,0.0,3.0,0.0
task,stamp_seal,height,1.0,3.0,0.3333333333333333
task,stamp_seal,light,1.0,3.0,0.3333333333333333
task,turn_switch,background,0.0,3.0,0.0
task,turn_switch,clutter,2.0,3.0,0.6666666666666666
task,turn_switch,easy,3.0,3.0,1.0
task,turn_switch,hard,2.0,3.0,0.6666666666666666
task,turn_switch,height,2.0,3.0,0.6666666666666666
task,turn_switch,light,1.0,3.0,0.3333333333333333
